Greenflower Nipple Cactus,Cactaceae,Mammillaria barbata Engelm.,Laos,20.690696,101.9861694,
Bigseed Alfalfa Dodder,Cuscutaceae,Cuscuta indecora Choisy var. bifida Yunck.,Poland,52.0592063,20.4515916,
Mesquite,Fabaceae,Prosopis L.,Mexico,19.4458447,-99.1497664,Jalisco
Soft Brome,Poaceae,Bromus hordeaceus L. ssp. thominei (Hardham ex Nyman) Braun-Blanq.,Indonesia,-6.8,106.183333,
Idaho Gumweed,Asteraceae,Grindelia nana Nutt. var. nana,Venezuela,10.5072523,-66.8513772,
Baffin Lecidea Lichen,Lecideaceae,Lecidea baffiniana H. Magn.,Indonesia,-7.1265553,108.6383454,
Catillaria Lichen,Catillariaceae,Catillaria nigroclavata (Nyl.) Schuler,Poland,54.20801,19.11753,
Sulphur Parmotrema Lichen,Parmeliaceae,Parmotrema sulphuratum (Nees & Flotow) Hale,Cameroon,4.5385626,12.0204247,
Tortula Moss,Pottiaceae,Tortula laevipila (Brid.) Schwägr. var. laevipila,Vietnam,9.1009716,104.8921668,
Myelochroa Lichen,Parmeliaceae,Myelochroa galbina (Ach.) Elix & Hale,Colombia,8.2459842,-75.6906241,
Hottentot-bread,Dioscoreaceae,Dioscorea elephantipes (L'Hér.) Engl.,Philippines,14.573997,121.049071,
Andean Senna,Fabaceae,Senna monozyx (Irwin & Barneby) Irwin & Barneby,Macedonia,40.9900603,21.4193769,
Calotis,Asteraceae,Calotis R. Br.,Indonesia,-6.1583904,106.4288088,
Silvery Lupine,Fabaceae,Lupinus argenteus Pursh ssp. rubricaulis (Greene) Hess & D. Dunn,China,29.492402,118.604556,
Star Sedge,Cyperaceae,Carex echinata Murray ssp. phyllomanica (W. Boott) Reznicek,Japan,35.3465609,136.313308,
False Horkelia,Rosaceae,Horkeliella Rydb.,Germany,51.4918437,7.5319762,Nordrhein-Westfalen
Chihuahuan Stickseed,Boraginaceae,Hackelia ursina (Greene ex A. Gray) I.M. Johnst. var. ursina,Yemen,14.233333,44.25,
Smithton Peppermint Gum,Myrtaceae,Eucalyptus nitida Hook. f.,Russia,54.0984453,77.6793844,
Lanceleaf Twinsorus Fern,Dryopteridaceae,Diplazium lonchophyllum Kunze,Myanmar,16.2864333,95.4018087,
Smooth Rattlebox,Fabaceae,Crotalaria pallida Aiton var. obovata (G. Don) Polhill,China,39.154261,117.155313,
Hayfield Tarweed,Asteraceae,Hemizonia congesta DC. ssp. luzulifolia (DC.) Babc. & H.M. Hall,Cape Verde,17.1820718,-25.0658748,
Reverchon's Palafox,Asteraceae,Palafoxia reverchonii (Bush) Cory,Pakistan,32.8901015,72.8009248,
Broadleaf Milkvetch,Fabaceae,Astragalus lentiginosus Douglas ex Hook. var. chartaceus M.E. Jones,France,48.8383589,2.6618245,Île-de-France
Texan Great Ragweed,Asteraceae,Ambrosia trifida L. var. texana Scheele,Thailand,13.6055178,100.3796676,
Keck's Beardtongue,Scrophulariaceae,Penstemon leiophyllus Pennell var. keckii (Clokey) N.H. Holmgren,Philippines,6.5592478,124.6846104,
Showy Goldenrod,Asteraceae,Solidago speciosa Nutt.,Peru,-7.4509461,-78.2696832,
Hairybeast Turtleback,Asteraceae,Psathyrotes pilifera A. Gray,Indonesia,-7.0428799,113.8019562,
Sunflower,Asteraceae,Helianthus ×glaucus Small (pro sp.),Canada,53.5412083,-113.2957365,Alberta
Cyrtandra,Gesneriaceae,Cyrtandra ×honolulensis Wawra (pro sp.),Portugal,38.5908192,-9.017701,Setúbal
