product_id,sales_person_id,sales_person_name,product_name,price,quantity_sold,product_make,product_color,model_year,region_sold_in,state_sold_in,country_sold_in,buyer_gender,currency,credit_card_type,Car_VIN
1,804406477-X,tscorer0,Aspen,$307890.99,114579,Dodge,Yellow,1976,Włoszakowice,,Poland,Male,Zloty,jcb,JTDKTUD39DD483501
2,723402347-X,hwisedale1,Coachbuilder,$433169.79,79507,Buick,Goldenrod,1992,Morangis,Île-de-France,France,Male,Euro,jcb,WAUNG94F49N105982
3,475371025-4,ncoddrington2,SRX,$285791.42,74236,Cadillac,Indigo,2011,Mundolsheim,Alsace,France,Female,Euro,jcb,WDDUG7JB9FA431404
4,384595541-4,ahulance3,900,$699879.98,148518,Saab,Aquamarine,1993,Wola Uhruska,,Poland,Male,Zloty,instapayment,5UXZV4C56DL733177
5,034824927-6,cquinnette4,C8 Spyder,$561994.18,138051,Spyker,Goldenrod,2004,Działoszyce,,Poland,Male,Zloty,jcb,WP0AA2A97ES303217
6,035657294-3,gbautiste5,850,$964078.23,129756,Volvo,Teal,1996,Orsay,Île-de-France,France,Female,Euro,diners-club-us-ca,JHMZE2H57DS816166
7,872781210-3,mrosenberger6,Pajero,$411499.27,143042,Mitsubishi,Khaki,1988,Zaleszany,,Poland,Male,Zloty,jcb,19UYA426X2A942385
8,328651175-7,sleighfield7,Civic,$560109.90,121705,Honda,Khaki,2003,Sävedalen,Västra Götaland,Sweden,Male,Krona,mastercard,JN8AZ1MU6CW926065
9,306291457-2,ecorstorphine8,200,$837215.56,129509,Audi,Puce,1990,Niort,Poitou-Charentes,France,Female,Euro,jcb,1FMJK1K55AE050791
10,735036614-0,mhawkes9,SLK-Class,$269865.17,85435,Mercedes-Benz,Aquamarine,2001,Wichita,Kansas,United States,Male,Dollar,americanexpress,WBA3D5C53EK144530
11,272467756-0,mchittiea,Coachbuilder,$104100.65,60691,Buick,Green,1992,Skołyszyn,,Poland,Male,Zloty,visa-electron,5N1AR2MMXDC625198
12,597058560-2,rlafondb,Sportvan G30,$787723.63,73501,Chevrolet,Red,1993,Göteborg,Västra Götaland,Sweden,Female,Krona,jcb,WA1VMBFE3AD300421
13,872875781-5,mbullentc,Q5,$560475.97,43331,Audi,Aquamarine,2010,Issy-les-Moulineaux,Île-de-France,France,Female,Euro,maestro,ZHWGU5BR0EL673590
14,507959888-3,momurtaghd,Vitara,$68901.24,100400,Suzuki,Fuscia,2000,Cachoeiro de Itapemirim,,Brazil,Male,Real,jcb,WA1LMBFE8AD121802
15,891736421-7,fglisanee,Savana 1500,$274238.28,134416,GMC,Orange,1998,Sundbyberg,Stockholm,Sweden,Male,Krona,jcb,5GAKRBKD7FJ514121
16,959688858-7,evaskinf,Montero,$522356.18,104108,Mitsubishi,Orange,1997,Mszana Dolna,,Poland,Female,Zloty,switch,1C4AJWAG8CL046355
17,841649606-4,lshalesg,LeMans,$131889.10,10808,Pontiac,Orange,1968,Oklahoma City,Oklahoma,United States,Male,Dollar,maestro,1G6DE1E39E0162165
18,576546532-3,scollingeh,EV1,$287629.11,65387,GMC,Puce,1999,Além Paraíba,,Brazil,Female,Real,solo,JN1CV6AP7BM190262
19,888951724-7,tferrarelloi,Echo,$113318.98,50519,Toyota,Teal,2005,Nowosielce,,Poland,Male,Zloty,jcb,SCFEBBCF9CG357136
20,204968489-4,mbartosinskij,Sorento,$166364.00,147666,Kia,Green,2011,Firmat,,Argentina,Female,Peso,jcb,WDDPK5HA2FF638751
21,456203520-X,rcherryholmek,V50,$649838.25,23968,Volvo,Turquoise,2011,Itaquaquecetuba,,Brazil,Male,Real,jcb,JN1EY1AP5EM961731
22,005639933-2,mrehml,Pajero,$834296.19,110223,Mitsubishi,Khaki,1987,Jönköping,Jönköping,Sweden,Female,Krona,jcb,2HNYD18833H770968
23,625538942-1,ljanusikm,MDX,$273024.03,149997,Acura,Teal,2009,Skene,Västra Götaland,Sweden,Male,Krona,bankcard,4T1BF3EK9BU568399
24,365570698-7,chockingn,Supra,$373392.63,81254,Toyota,Mauv,1996,Imbituva,,Brazil,Male,Real,maestro,WAUJC58E95A843931
25,264622016-2,obecconsallo,Charger,$568838.09,28360,Dodge,Crimson,2009,Comodoro Rivadavia,,Argentina,Male,Peso,jcb,1G6DN8EV1A0433823
26,400916770-X,bbalsilliep,Murano,$313996.36,83635,Nissan,Aquamarine,2007,Sokolniki,,Poland,Female,Zloty,laser,1C6RD6PT1CS840819
27,477747820-3,fguiceq,Achieva,$692581.37,16930,Oldsmobile,Maroon,1995,Rydułtowy,,Poland,Male,Zloty,jcb,KMHHT6KJ4FU367869
28,745415231-7,kmccardr,Express 2500,$529674.63,109245,Chevrolet,Khaki,1996,Skövde,Västra Götaland,Sweden,Female,Krona,maestro,WAUGL98E05A312666
29,841130025-0,mupfolds,Achieva,$930550.96,419,Oldsmobile,Khaki,1998,Stegna,,Poland,Female,Zloty,jcb,WBA3C3C58EP978769
30,951877039-5,bnorkettt,Silverado 3500,$369100.10,149533,Chevrolet,Maroon,2005,Stara Pazova,,Serbia,Female,Dinar,diners-club-enroute,1G6AH5SX6E0000437
31,018796403-3,dhoysu,Tahoe,$573106.10,108743,Chevrolet,Fuscia,1996,Marseille,Provence-Alpes-Côte d'Azur,France,Female,Euro,solo,YV126MEC5F1108824
32,625185543-6,echownv,MKT,$620307.76,80613,Lincoln,Khaki,2013,Saint Petersburg,Florida,United States,Female,Dollar,switch,WBAFR9C53BD742767
33,068142689-6,dcharnleyw,MDX,$39872.57,26475,Acura,Aquamarine,2012,Bobowa,,Poland,Female,Zloty,jcb,WBADX7C50DJ934671
34,330184020-5,pringerx,LX,$465026.31,99432,Lexus,Turquoise,1998,Lyon,Rhône-Alpes,France,Female,Euro,visa,3D7LP2ET0AG283042
35,604412781-8,jbridgwatery,Mark VIII,$447275.15,92516,Lincoln,Pink,1998,Miami,Florida,United States,Female,Dollar,jcb,WAUEH78E38A422080
36,556436757-X,tfippz,L-Series,$643558.31,46907,Saturn,Turquoise,2001,Krzyżanów,,Poland,Male,Zloty,mastercard,SCFFDCCD9AG877563
37,566058607-4,astollenwerck10,Capri,$669450.01,54123,Mercury,Mauv,1993,Jucás,,Brazil,Male,Real,laser,WBA6A0C5XFG727741
38,294994305-5,panney11,Passat,$317233.41,134706,Volkswagen,Mauv,1998,Passos,,Brazil,Female,Real,switch,5N1AL0MM1FC078590
39,621824093-2,bputley12,Defender 90,$532489.31,123925,Land Rover,Khaki,1995,Jedlnia-Letnisko,,Poland,Female,Zloty,diners-club-carte-blanche,2G4WD582881190580
40,282813808-9,louldcott13,S5,$745605.74,86459,Audi,Pink,2010,São Fidélis,,Brazil,Male,Real,jcb,2B3CA5CT2AH786945
41,959504148-3,wthornthwaite14,Express 2500,$632214.32,78044,Chevrolet,Yellow,2012,Arlington,Virginia,United States,Female,Dollar,switch,YV4902DZXD2994014
42,617512688-2,jsurby15,Suburban 2500,$616364.26,80445,Chevrolet,Turquoise,2007,Kętrzyn,,Poland,Male,Zloty,jcb,1G4GG5E3XCF394436
43,306501006-2,ashilleto16,GTI,$281933.11,80555,Volkswagen,Fuscia,2009,Dobrzyca,,Poland,Female,Zloty,jcb,1G6YV36A395605591
44,905893922-7,dcheetam17,525,$438080.65,112301,BMW,Teal,2004,Jardinópolis,,Brazil,Male,Real,diners-club-international,1N6AD0CW7FN015922
45,459961461-0,jmclugaish18,GTO,$773077.68,139200,Mitsubishi,Goldenrod,1995,Le Bourget-du-Lac,Rhône-Alpes,France,Male,Euro,visa-electron,JTHBB1BA4C2246040
46,646909133-4,irenney19,RS 4,$60147.22,129949,Audi,Purple,2007,Votorantim,,Brazil,Male,Real,mastercard,1GYFK43838R984971
47,805936006-X,cwignall1a,G-Series G30,$28199.14,8588,Chevrolet,Indigo,1992,Ubá,,Brazil,Male,Real,switch,JN8AS1MU5BM604015
48,025931032-8,rregglar1b,Caprice Classic,$156294.38,32190,Chevrolet,Mauv,1994,Comodoro Rivadavia,,Argentina,Male,Peso,mastercard,2HNYD18206H396982
49,033855307-X,kballintyne1c,Spectra,$49734.55,125339,Kia,Blue,2003,Kista,Stockholm,Sweden,Female,Krona,jcb,WAUJC58E13A700095
50,526655672-2,lashfold1d,Caliber,$109826.98,73951,Dodge,Red,2007,El Carmen,Mexico,Mexico,Female,Peso,jcb,SCFPDCGP4EG109178
51,490747325-7,gswate1e,929,$279571.75,87681,Mazda,Aquamarine,1995,Nueve de Julio,,Argentina,Female,Peso,switch,SCBBP9ZA9AC085430
52,382657963-1,rmertel1f,Sable,$866334.77,27037,Mercury,Goldenrod,2000,Montauban,Midi-Pyrénées,France,Female,Euro,bankcard,2FMDK4AC1AB808684
53,074875582-9,bpiddlesden1g,Odyssey,$177131.63,76489,Honda,Maroon,2002,Osasco,,Brazil,Male,Real,jcb,JN1BJ0HR6FM420150
54,213701678-8,chortop1h,Seville,$719486.15,114220,Cadillac,Blue,1993,San Carlos,,Argentina,Female,Peso,americanexpress,SCFBF04B67G309560
55,180992619-X,jdorton1i,Accent,$473922.33,27963,Hyundai,Turquoise,2002,Guajará Mirim,,Brazil,Female,Real,jcb,1G6DS8E33D0882173
56,337737822-7,npenley1j,Landaulet,$400709.17,81163,Maybach,Crimson,2010,Bronx,New York,United States,Female,Dollar,mastercard,JTHKD5BH2F2952393
57,568204725-7,kcholton1k,Taurus,$901078.71,7861,Ford,Yellow,2003,Craigavon,Northern Ireland,United Kingdom,Female,Pound,bankcard,1N6BF0KX8FN699047
58,717320233-7,rjirzik1l,Quattro,$890917.53,74887,Audi,Red,1994,Gap,Provence-Alpes-Côte d'Azur,France,Male,Euro,jcb,5N1AN0NW2FN850206
59,425409585-6,tdulany1m,Grand Prix,$607071.54,35703,Pontiac,Teal,1994,Rochefort,Poitou-Charentes,France,Female,Euro,jcb,2HNYD18412H453895
60,691859874-0,ostock1n,Accent,$782290.58,66154,Hyundai,Orange,1997,Ludvika,Dalarna,Sweden,Male,Krona,jcb,1GYFC53239R686405
